,hall,floor,row,col
0,OH,1F,01,07
1,OH,1F,01,08
2,OH,1F,01,09
3,OH,1F,01,10
4,OH,1F,01,11
5,OH,1F,01,12
6,OH,1F,01,13
7,OH,1F,01,14
8,OH,1F,01,15
9,OH,1F,01,16
10,OH,1F,01,17
11,OH,1F,01,18
12,OH,1F,01,19
13,OH,1F,01,20
14,OH,1F,01,21
15,OH,1F,01,22
16,OH,1F,01,23
17,OH,1F,01,24
18,OH,1F,01,25
19,OH,1F,01,26
20,OH,1F,01,27
21,OH,1F,01,28
22,OH,1F,01,29
23,OH,1F,01,30
24,OH,1F,01,31
25,OH,1F,01,32
26,OH,1F,01,33
27,OH,1F,01,34
28,OH,1F,01,35
29,OH,1F,01,36
30,OH,1F,01,37
31,OH,1F,02,05
32,OH,1F,02,06
33,OH,1F,02,07
34,OH,1F,02,08
35,OH,1F,02,09
36,OH,1F,02,10
37,OH,1F,02,11
38,OH,1F,02,12
39,OH,1F,02,13
40,OH,1F,02,14
41,OH,1F,02,15
42,OH,1F,02,16
43,OH,1F,02,17
44,OH,1F,02,18
45,OH,1F,02,19
46,OH,1F,02,20
47,OH,1F,02,21
48,OH,1F,02,22
49,OH,1F,02,23
50,OH,1F,02,24
51,OH,1F,02,25
52,OH,1F,02,26
53,OH,1F,02,27
54,OH,1F,02,28
55,OH,1F,02,29
56,OH,1F,02,30
57,OH,1F,02,31
58,OH,1F,02,32
59,OH,1F,02,33
60,OH,1F,02,34
61,OH,1F,02,35
62,OH,1F,02,36
63,OH,1F,02,37
64,OH,1F,02,38
65,OH,1F,03,04
66,OH,1F,03,05
67,OH,1F,03,06
68,OH,1F,03,07
69,OH,1F,03,08
70,OH,1F,03,09
71,OH,1F,03,10
72,OH,1F,03,11
73,OH,1F,03,12
74,OH,1F,03,13
75,OH,1F,03,14
76,OH,1F,03,15
77,OH,1F,03,16
78,OH,1F,03,17
79,OH,1F,03,18
80,OH,1F,03,19
81,OH,1F,03,20
82,OH,1F,03,21
83,OH,1F,03,22
84,OH,1F,03,23
85,OH,1F,03,24
86,OH,1F,03,25
87,OH,1F,03,26
88,OH,1F,03,27
89,OH,1F,03,28
90,OH,1F,03,29
91,OH,1F,03,30
92,OH,1F,03,31
93,OH,1F,03,32
94,OH,1F,03,33
95,OH,1F,03,34
96,OH,1F,03,35
97,OH,1F,03,36
98,OH,1F,03,37
99,OH,1F,03,38
100,OH,1F,03,39
101,OH,1F,04,03
102,OH,1F,04,04
103,OH,1F,04,05
104,OH,1F,04,06
105,OH,1F,04,07
106,OH,1F,04,08
107,OH,1F,04,09
108,OH,1F,04,10
109,OH,1F,04,11
110,OH,1F,04,12
111,OH,1F,04,13
112,OH,1F,04,14
113,OH,1F,04,15
114,OH,1F,04,16
115,OH,1F,04,17
116,OH,1F,04,18
117,OH,1F,04,19
118,OH,1F,04,20
119,OH,1F,04,21
120,OH,1F,04,22
121,OH,1F,04,23
122,OH,1F,04,24
123,OH,1F,04,25
124,OH,1F,04,26
125,OH,1F,04,27
126,OH,1F,04,28
127,OH,1F,04,29
128,OH,1F,04,30
129,OH,1F,04,31
130,OH,1F,04,32
131,OH,1F,04,33
132,OH,1F,04,34
133,OH,1F,04,35
134,OH,1F,04,36
135,OH,1F,04,37
136,OH,1F,04,38
137,OH,1F,04,39
138,OH,1F,04,40
139,OH,1F,05,03
140,OH,1F,05,04
141,OH,1F,05,05
142,OH,1F,05,06
143,OH,1F,05,07
144,OH,1F,05,08
145,OH,1F,05,09
146,OH,1F,05,10
147,OH,1F,05,11
148,OH,1F,05,12
149,OH,1F,05,13
150,OH,1F,05,14
151,OH,1F,05,15
152,OH,1F,05,16
153,OH,1F,05,17
154,OH,1F,05,18
155,OH,1F,05,19
156,OH,1F,05,20
157,OH,1F,05,21
158,OH,1F,05,22
159,OH,1F,05,23
160,OH,1F,05,24
161,OH,1F,05,25
162,OH,1F,05,26
163,OH,1F,05,27
164,OH,1F,05,28
165,OH,1F,05,29
166,OH,1F,05,30
167,OH,1F,05,31
168,OH,1F,05,32
169,OH,1F,05,33
170,OH,1F,05,34
171,OH,1F,05,35
172,OH,1F,05,36
173,OH,1F,05,37
174,OH,1F,05,38
175,OH,1F,05,39
176,OH,1F,05,40
177,OH,1F,06,02
178,OH,1F,06,03
179,OH,1F,06,04
180,OH,1F,06,05
181,OH,1F,06,06
182,OH,1F,06,07
183,OH,1F,06,08
184,OH,1F,06,09
185,OH,1F,06,10
186,OH,1F,06,11
187,OH,1F,06,12
188,OH,1F,06,13
189,OH,1F,06,14
190,OH,1F,06,15
191,OH,1F,06,16
192,OH,1F,06,17
193,OH,1F,06,18
194,OH,1F,06,19
195,OH,1F,06,20
196,OH,1F,06,21
197,OH,1F,06,22
198,OH,1F,06,23
199,OH,1F,06,24
200,OH,1F,06,25
201,OH,1F,06,26
202,OH,1F,06,27
203,OH,1F,06,28
204,OH,1F,06,29
205,OH,1F,06,30
206,OH,1F,06,31
207,OH,1F,06,32
208,OH,1F,06,33
209,OH,1F,06,34
210,OH,1F,06,35
211,OH,1F,06,36
212,OH,1F,06,37
213,OH,1F,06,38
214,OH,1F,06,39
215,OH,1F,06,40
216,OH,1F,06,41
217,OH,1F,07,02
218,OH,1F,07,03
219,OH,1F,07,04
220,OH,1F,07,05
221,OH,1F,07,06
222,OH,1F,07,07
223,OH,1F,07,08
224,OH,1F,07,09
225,OH,1F,07,10
226,OH,1F,07,11
227,OH,1F,07,12
228,OH,1F,07,13
229,OH,1F,07,14
230,OH,1F,07,15
231,OH,1F,07,16
232,OH,1F,07,17
233,OH,1F,07,18
234,OH,1F,07,19
235,OH,1F,07,20
236,OH,1F,07,21
237,OH,1F,07,22
238,OH,1F,07,23
239,OH,1F,07,24
240,OH,1F,07,25
241,OH,1F,07,26
242,OH,1F,07,27
243,OH,1F,07,28
244,OH,1F,07,29
245,OH,1F,07,30
246,OH,1F,07,31
247,OH,1F,07,32
248,OH,1F,07,33
249,OH,1F,07,34
250,OH,1F,07,35
251,OH,1F,07,36
252,OH,1F,07,37
253,OH,1F,07,38
254,OH,1F,07,39
255,OH,1F,07,40
256,OH,1F,07,41
257,OH,1F,08,02
258,OH,1F,08,03
259,OH,1F,08,04
260,OH,1F,08,05
261,OH,1F,08,06
262,OH,1F,08,07
263,OH,1F,08,08
264,OH,1F,08,09
265,OH,1F,08,10
266,OH,1F,08,11
267,OH,1F,08,12
268,OH,1F,08,13
269,OH,1F,08,14
